"STATION CODE";"REQUESTED DATE";"START PROCESS DATE";"REGISTRATION NUMBER";"ATAR FILE";"PROCESS RESULT"
ROMC02;"15/03/2021 13:01:49";"15/03/2021 13:04:47";GB272SC;4722533;Finished
ROMC02;"15/03/2021 13:00:10";"15/03/2021 13:03:49";FX404NG;4722530;Finished
TRNC09;"15/03/2021 12:51:40";"15/03/2021 12:53:40";GB874YJ;4722504;Finished
QNUC06;"15/03/2021 12:45:13";"15/03/2021 12:46:49";GB298CM;900012057659;Finished
VRNC01;"15/03/2021 12:05:14";"15/03/2021 12:14:01";FX335KD;4722164;Finished
QPBC02;"15/03/2021 12:01:22";"15/03/2021 12:07:47";GC896FP;900012056889;"Manually addressed"
byvc02;"15/03/2021 12:00:29";"15/03/2021 12:04:52";fx932dy;4722339;Finished
trnc09;"15/03/2021 11:56:27";"15/03/2021 11:58:46";fx724nl;4722327;Finished
VRNC01;"15/03/2021 11:41:17";"15/03/2021 11:44:45";FX335KD;4722164;"Photos does not exist"
RCIW01;"15/03/2021 11:33:27";"15/03/2021 11:36:42";GC848NT;4722234;Finished
VRNC01;"15/03/2021 11:08:46";"15/03/2021 11:20:44";FX335KD;4722164;"Photos does not exist"
zanc01;"15/03/2021 11:06:51";"15/03/2021 11:12:46";gc819fp;900012056579;Finished
QBSC01;"15/03/2021 11:06:44";"15/03/2021 11:12:41";FZ096EV;4722165;Finished
QPAC01;"15/03/2021 11:05:06";"15/03/2021 11:07:45";GB853CL;4722155;"Manually addressed"
qpac01;"15/03/2021 10:55:59";"15/03/2021 11:04:48";fz060ev;4722092;Finished
QNOW01;"15/03/2021 10:53:57";"15/03/2021 10:58:39";FZ570ET;4722117;Finished
QALN01;"15/03/2021 10:49:41";"15/03/2021 10:56:46";FX598DZ;4722093;Finished
awsc01;"15/03/2021 10:46:28";"15/03/2021 10:48:45";ga493xf;900012056520;Finished
qpac01;"15/03/2021 10:36:45";"15/03/2021 10:41:45";gb451sc;4722072;"Manually addressed"
IYLC01;"15/03/2021 10:34:15";"15/03/2021 10:38:49";GA179XF;4722065;Finished
DCNC02;"15/03/2021 10:33:47";"15/03/2021 10:35:43";GB442YM;4722053;Finished
qpac01;"15/03/2021 10:25:42";"15/03/2021 10:27:45";gb906tt;4722041;Finished
crvc01;"15/03/2021 10:25:20";"15/03/2021 10:27:40";fx060pn;4722043;Finished
QVAC04;"15/03/2021 09:58:45";"15/03/2021 10:00:45";FX265FT;900012053522;Finished
QICC02;"15/03/2021 09:39:18";"15/03/2021 09:40:47";GD855JX;4721915;Finished
LINO01;"15/03/2021 09:32:36";"15/03/2021 09:34:43";FZ416KN;4721903;"Manually addressed"
MXPO01;"15/03/2021 09:21:36";"15/03/2021 09:26:47";FW913RJ;4721869;Finished
QLPC02;"15/03/2021 09:19:46";"15/03/2021 09:24:44";FZ318YN;4721834;Finished
milc03;"15/03/2021 09:16:16";"15/03/2021 09:19:46";fx801dy;4721579;Finished
qcsc02;"15/03/2021 09:14:28";"15/03/2021 09:16:43";FX507FR;4721852;Finished
FCOO01;"15/03/2021 09:06:44";"15/03/2021 09:08:44";GA738XF;4721353;Finished
romc32;"15/03/2021 09:06:15";"15/03/2021 09:08:43";fz560er;4721830;Finished
olbc04;"15/03/2021 08:59:39";"15/03/2021 09:02:44";GA140RR;4721824;Finished
WWZC01;"15/03/2021 08:28:47";"15/03/2021 08:40:44";GB648YJ;4721794;Finished
FCOO01;"15/03/2021 08:26:07";"15/03/2021 08:39:48";GA738XF;4721353;"Photos does not exist"
FCOO01;"15/03/2021 08:25:00";"15/03/2021 08:34:44";GB572DY;4721789;Finished
FCOO01;"15/03/2021 08:20:12";"15/03/2021 08:33:47";FZ629KN;4721786;Finished
FCOO01;"15/03/2021 08:18:03";"15/03/2021 08:21:39";GB639SC;900012051874;Finished
awsc01;"15/03/2021 08:17:27";"15/03/2021 08:18:40";fx229zj;4721778;Finished
